STRING	LEN	FREQ	Orth	Orth_F	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C	UN1_F	UN1_C	UN2_F	UN2_C	UN3_F	UN3_C
miles	5	139.75	17	4.51	9713.5	708.6	1432.81	126.25	263.16	18	272639.53	41365.6	21816.17	5533.75	2264.37	561.67
model	5	53.25	4	3.7	9695.7	451.2	885.73	47.75	61.69	5.33	256716.72	32412.4	13908.59	2379	527.13	151
money	5	386.52	2	10.53	10209.13	557.8	796.76	52	461.37	7.33	262719.6	31897.6	22116.93	3265.25	3088.92	333
month	5	89.24	1	140.46	7802.44	373	982.88	49.5	225.32	3.33	269891.23	27513.4	53619.87	3770.75	1625.82	302.33
moral	5	64.01	3	2.06	8162.82	364.8	1267.75	54.25	86.64	5.33	244112.98	31729.6	24292.35	3950	2001.24	280.67
mouth	5	140.46	4	87.42	9043.09	355.6	2966.35	49.25	390.97	8	236128.58	23431.6	49091.53	2094.5	2951.93	267.67
moved	5	182.05	7	17.04	11392.3	478.8	1826.89	101.5	408.91	12.33	230935.2	27669.8	21612.42	3169.75	2580.62	273
music	5	128.5	0	0	3190.43	221.2	316.08	27.5	165.49	3.33	181283.23	31023.2	13245.28	2408.25	1047.37	125
named	5	55.92	6	20.5	9093.73	472.6	1189.36	88	155.22	9.67	291783.34	36035	20778.35	3462.75	1853.04	216.33
names	5	73.95	7	17.42	9471.16	706.6	1395.24	110.5	353.88	10.33	311246.14	41972.6	19861.24	4603.75	1819.43	195.67
needs	5	163.55	8	6.65	8766.21	533.8	971.16	47.25	202.04	8.33	351886.04	47578	20709.59	3518.75	1097.56	127.33
never	5	906.25	4	10.53	9033.48	388.6	3139.18	74	1122.67	9.67	322664.48	42166.4	31510.99	4759.25	6048.03	465.33
night	5	436.14	9	236.67	6106.74	216.6	2120.11	16	1887.82	8.67	262610.09	30918.4	8482.18	1343	4027.52	376
noise	5	61.93	4	4.42	12824.46	406.2	1688.72	38	99.33	4.67	340056.64	46987.2	20622.17	2532.75	657.63	168.67
north	5	145.64	2	70.86	8301.07	353.2	1422.68	43	348.33	7.33	297927.39	32436	47813.9	2255.75	1896.47	292.67
notes	5	52.89	7	11.64	11833.87	704.8	1957.8	115.5	209.95	13.33	357409.13	44953.6	25600.3	5566	3367.01	468.33
offer	5	102.09	0	0	7061.7	273.6	2044.14	50.5	108.36	3.33	255396.14	30375.8	27683.47	3255.5	1732.85	190.67
often	5	469.4	0	0	6885.24	287.2	1937.35	29	877.32	1.67	323630.62	36353	28680.17	3560.25	2013.04	249
older	5	102.27	5	57.27	8069.55	348.6	2252.71	62.5	408.26	6.67	284752.88	37335	27049.08	4451.5	2354.39	436
order	5	269.98	2	51.7	8576.84	368.6	2336.04	63.25	514.75	5.33	299324.97	39337.2	32387.84	5116	2342.25	452.67
other	5	1596.96	2	5.68	8003.64	285.6	3052.26	49.75	1599.4	2	344840.98	37352.8	81081.15	4357	35854.98	506.33
ought	5	91.02	1	0.06	5011.51	195.6	1404.13	12.5	946.45	5	232387.44	23821	15786.73	1284.75	4970.34	289.67
paper	5	173.42	7	1.19	9030.85	495.2	2322.83	86.5	206.3	10	260623.81	35434	23768.65	4282.5	2012.5	429.33
paris	5	62.05	7	16.66	8567.62	658.8	838.45	57.75	230	7	254481.88	39345.8	24046.35	4168	2312.09	554.33
parts	5	101.85	16	30.24	8320.88	685.4	1305.18	99.75	453.02	13	271834.37	37312.2	15489.16	2699.5	2741.63	360.67
party	5	373.5	7	15.3	6593.2	481	1250.54	66	555.68	9.67	235038.7	28951.4	14544.09	2297.5	2785.53	323
peace	5	90.73	3	184.55	10633.42	428.6	1989.63	53.25	413.42	7.67	323913.65	41537.4	17907.74	2581	1742.88	180.33
peter	5	63.06	3	3.71	9803.26	458.2	2780.36	80.75	806.05	9.67	351247.41	44151.2	31805.4	5950.25	3801.23	891.67
phone	5	79.07	2	11.42	12987.19	368.2	1164.57	32.25	199.84	5.67	290882.21	32860	23121.95	3521.25	2602.67	321.67
piece	5	113.51	1	4.7	11283.2	382.4	776.47	28.25	118.79	2.67	308642.78	42838.8	11419.62	2443.75	575.49	141.67
place	5	544.72	5	35.27	9698.03	383.2	1666.76	48	867.42	9.67	253664.31	34712.2	13609.16	2396.25	2325.51	323
plain	5	54.61	3	2.24	6739.23	319.8	1392.37	44	703.88	11.33	244508.06	34947.6	28850.77	4779.25	3057.91	363.67
plans	5	67.94	6	27.79	9009.71	608.8	1191.4	67.25	500.53	15.67	236168.23	35443.6	24739.09	3523.5	2249.56	521
plant	5	73.12	5	24.06	8579.75	363.2	1380.72	55	470.79	12.67	261860.55	32914	29022.43	3789.75	3074.51	638
point	5	364.15	3	35.76	12102.93	428.6	2186.6	52	773.72	7.33	277206.98	35008.2	30539.65	5013.5	2791.24	384
power	5	328.04	10	16.03	10827.98	473.4	2363.01	79.5	462.16	12	251641.67	31462.2	25836.88	3692.5	2447.53	144.33
press	5	136.83	5	18.1	9765.2	566.4	1283.96	36.5	253.06	6.33	274043.22	44160	29099.21	6164.75	5363.35	1481
price	5	91.56	5	26.3	10918.13	382.4	2122.09	49.25	294.91	9.67	252965.53	38015.8	16796.71	3394	2095.63	367.67
prime	5	65.44	7	28.98	9623.68	373.8	651.37	43	170.31	10	250181.51	36439.2	17334.89	2940	1835.35	257.67
prove	5	64.01	8	11.91	8772.4	351.2	958.31	46.75	234.78	10.33	241404.06	31601.4	16962.01	2406.25	3762.08	568
quick	5	69.49	2	0.8	5966.5	241.4	1731.33	34.5	336.41	9.33	115023.57	19134.2	7764.5	1813	1092.82	279.67
quiet	5	86.8	2	10.98	9989.76	429.8	678.38	34.75	275.35	5	268163.38	33932.2	7983.57	1975.75	922.99	172
quite	5	470.05	4	6.62	8919.19	358.8	1207.4	35	738.74	8.67	268163.38	33932.2	19755.23	3227.5	1817.76	320
radio	5	73.59	2	6.81	4411.28	296	265.71	26.75	77.3	3	283929.01	36825.2	15610.66	3476	708.66	193.33
ralph	5	50.87	0	0	4567.1	332.2	343.23	33.25	55.84	1.67	223600.08	27842.8	12659.17	2808.25	711.83	128
range	5	98.82	2	0.03	7563.69	414	659.14	59	117.26	10.67	303339.62	40059.8	32470.42	5213.5	2382.03	545.67
rates	5	71.57	16	5.41	10130.32	742	2257.32	130	485.6	18	360376.34	46761.6	32963.79	7975.5	4313.68	1548
