Remove	STRING	LEN	FREQ	Orth	Orth_F	N1_F	N1_C	N2_F	N2_C	N3_F	N3_C	UN1_F	UN1_C	UN2_F	UN2_C	UN3_F	UN3_C
1	shase	5	NA	9	30.95	13982.29	435.4	1955.69	62.25	225.14	12	335044.91	43898.8	28168.77	2566.5	1673.81	191.67
0	shass	5	NA	4	0.16	12855.86	634	1120.59	51.25	351.44	11.33	283533.03	41378	24056.66	2562	1973.34	286.67
0	sheck	5	NA	5	24.36	11301.84	305	2972.88	44	95.72	5.67	235498.6	30889.4	37284.95	2235.75	2045.68	232
1	sheir	5	NA	3	992.52	12843.94	340	4162.71	31.5	2017.91	4.67	315608.66	42898	36768.45	1748	3900.7	184.67
1	shery	5	NA	1	0	12243.37	397	4223.9	49	1661.26	7.67	270473.16	35033.2	50991.71	4245.75	8548.08	452.67
0	shith	5	NA	3	13.74	11625.69	370.6	2830.53	51.5	205.13	6	290150	32455.2	52026.81	2450.25	3550.05	242.33
1	shood	5	NA	5	64.44	11227.75	368.6	1284.64	41.75	396.7	8.67	264219.2	30214.6	12648.01	1677.5	2063.66	227.33
1	shose	5	NA	6	195.72	13869.77	408.6	2427.68	53.5	1088.06	10.67	323314.04	42184.6	17771.05	2328.5	2459.47	220.67
0	shost	5	NA	4	65	12313.37	361.6	1908.72	47.25	629.79	8.67	297494.49	37134.2	19180.09	3111.75	2404.26	234
1	sider	5	NA	6	19.07	10537.73	501.6	2476.58	77.5	408.36	11.33	299950.35	44655	28258.08	4822.5	3476.16	546
0	singo	5	NA	7	1.32	5136.16	351.6	590.76	48.5	204.75	11	252602.09	37631	34312.77	6052.75	10832.38	2540.67
1	sinor	5	NA	2	21.83	7530.45	392	685.07	41.5	205.65	4.33	284379.39	42164.2	37420.76	5264.75	1243.6	265
0	sisic	5	NA	0	0	5799.39	320.6	505.3	27	112.12	1.67	250988.97	44229.8	20674.49	3457.5	931.74	170.33
1	sixed	5	NA	9	12.74	10306.93	503.2	1019.38	81.25	89.6	7.67	252811.6	37080.6	14110.82	2574	199.9	30.67
0	sixts	5	NA	4	10.2	8057.39	619.2	549.53	61.25	30.18	2	246454.85	37967.8	6716.88	1386.5	166.58	13.33
0	slass	5	NA	10	34.35	9892.3	649.2	1056.87	51.25	291.91	11.33	268600.06	44768.2	15176.67	2653	1476.25	311.67
0	smage	5	NA	2	105.96	9020.69	388.6	652	23	286.14	3.33	270705.19	37533.2	9312.71	1695.5	1478.04	257.33
0	smale	5	NA	5	141.85	11238.63	417.4	1088.67	27.25	394.34	3	287910.4	40064.2	19157.38	3459.25	1085.74	219.33
0	smalk	5	NA	3	180.26	7828.89	334.8	633.75	17	371.14	2.33	189880.43	28384.8	12717.88	2137.25	1102.36	158.33
1	smals	5	NA	2	268.46	10112.2	616	869.69	44.75	395.17	6.67	236398.52	37543.4	13436.14	2352.25	1396.14	230.33
1	smels	5	NA	2	35.58	10820	574.4	573.17	42	78.53	4.67	264299.69	41861.6	12680.64	1876	441.75	144.33
1	smild	5	NA	1	98.58	10447.57	361.2	2459.04	23	250.41	2.67	201664.85	32907.2	9455.05	1524.25	1311.28	120.33
0	smone	5	NA	5	33.13	10642	393.8	844.38	25.25	259.53	6	299515.27	40258.4	21031.62	3382.25	2980.8	336.67
0	snown	5	NA	4	87.75	6344.68	283.4	497.36	24.5	321.08	8.33	250521.83	33380.2	8687.19	799.25	2391.91	118
0	soble	5	NA	2	9.04	12568.06	464.4	728.22	27.25	98.08	3.67	268896.39	37519.6	12746.53	2304	1695.35	361.67
0	solic	5	NA	3	16.96	7898.98	391.6	393.63	33.75	56.64	4	235791.5	36909.8	15400.9	2971.25	1385.61	302
0	sorty	5	NA	5	36.87	9798.26	529.8	1284.4	50.5	325.92	6	260337.94	34165.8	16743.43	1967.75	1671.57	241.67
0	sould	5	NA	5	1002.49	12939.43	462.6	5076.85	35.5	3352	5.33	208242.01	30638.6	19529.51	1709	4307.87	75.67
0	soute	5	NA	4	59.57	13064.02	509	2854.42	42.75	298	7.67	323646.48	40871.8	26279.42	3387.75	2994.13	271
0	spees	5	NA	5	16.96	12078.29	712.4	1562.58	115.5	242.23	6.33	329720.47	48983	17987.87	4388	1024.29	189
0	spene	5	NA	4	81.67	11472.93	388	664.88	36.75	265.77	5.33	334318.74	46587	22025.44	3646	2232.05	418
1	spere	5	NA	4	11.71	11420.72	376.2	2798.84	41	1585.46	5	325555.09	46680.8	35763.59	5598.5	6585.71	726
0	spird	5	NA	2	3.09	9921.86	361.6	540.46	35.5	102.07	6.67	211408.37	35205.6	6551.19	1369.25	515.68	153.67
1	spoks	5	NA	2	67.17	7836.66	577.2	710.02	55.25	200.75	6.33	192058.46	31271.2	5249.86	1069.25	516.67	111
0	sporm	5	NA	4	16.21	6710.03	295.6	506.61	31	85.29	5	202209.64	30902.8	14300.96	2080.75	1578.08	271.33
1	spory	5	NA	3	64.97	7746.28	385.2	826.06	39.5	141.57	5.67	197615.51	29766.8	15246.58	2061.25	1306.18	228
1	squal	5	NA	5	15.6	6172.37	273.4	390.84	18.5	88.45	4.33	187492.58	28335.2	9737.02	1728.5	1112.73	240
0	staft	5	NA	3	108.75	8052.21	337.6	1211.45	36	404.55	10	304943.67	35412.8	13661.56	2604	2214.66	299.33
0	stafy	5	NA	2	58.12	6754.5	378.8	1182.97	36.25	392.95	8.67	242455.68	29581.6	12886.63	2577.25	1703.4	263.67
0	stans	5	NA	10	21.11	10393.48	631	1614.01	68	528.16	14.33	317628.12	44147	31215.2	4751	3018.94	617.33
0	stard	5	NA	8	52.55	9963.83	385.2	1963.78	52	595.4	12.33	289401.67	38303.2	21793.62	3891.75	3170.53	570.67
0	starn	5	NA	6	49.87	8719.22	349	1835.04	51.75	484.53	10	313462.75	41844.8	21588.36	3815.75	2357.26	410.33
0	stath	5	NA	3	100.86	7990.9	367.6	1763.17	50.5	539.06	10	334917.68	36318.8	55065.38	4756.5	2999.53	571
1	stats	5	NA	11	36.33	9498.3	638.8	1598.76	88.5	495.36	16	338722.17	44013.4	25838.4	4900	2390.12	509.67
0	steat	5	NA	6	12.31	9718.95	332.4	1656.78	45.75	353.27	9.67	390234.05	46534.2	34386.19	6051	2738.63	479.33
1	steen	5	NA	7	18.85	11211.03	445	1758.32	49.5	182.96	8.33	397041.17	50986	31815.95	5428.5	2996.12	435
0	steet	5	NA	8	19.05	12403.11	469.6	1274.11	49	149.03	9.33	418135.22	50852.4	24093.33	4520.25	1908.88	426
1	steir	5	NA	3	18.13	9921.95	316.2	2458.43	31	1088.7	6.33	345105.47	48063	20879.47	3995.25	2252.16	324.33
1	stere	5	NA	5	20.28	12175.5	379	3356	48.5	1517.01	7	388277.52	51079.8	47464.03	8079	8759.19	1295.33
0	stice	5	NA	4	17.33	11794.6	384.6	2698.53	42	512.29	6.33	319853.34	44717	25370.42	5244.75	3248.7	741
1	stich	5	NA	1	54.08	9160.76	312	3224.31	50.25	1468.66	4.33	264536.97	34501.6	25326.81	5316.25	3580.77	664
0	stild	5	NA	3	308.11	11212.96	373	3330.85	42	817.99	5.33	259558.71	37602.4	22871.75	4462.5	2412.73	433
0	stily	5	NA	3	308.11	9862.71	402.6	2031.92	55.75	678.04	6	242225.84	35179.2	24198.16	5231.25	2171.29	483
0	stoms	5	NA	5	9.95	8548.38	568.6	1277.35	48	276.64	10	269097.45	37604	23534.24	2820.75	1005.92	227
0	stons	5	NA	5	23.14	10280.96	604.2	1628.15	62.5	276.9	11.33	305897.26	42432.8	32969.36	4825	2740.71	768.67
0	stont	5	NA	6	18.58	9850.99	358.6	1817.47	50.25	357.16	8.33	331589.58	39903.2	37252.71	5091.25	1738.1	361
0	stoof	5	NA	4	59.31	5941.12	279.6	1254.35	39.5	328.46	9	279400.3	32716.6	29124.01	2693.5	1423.58	206
0	stort	5	NA	10	68.89	9798.78	346.8	1469.2	43.25	397.25	9.67	322825.93	39997	30083.86	3642.5	2810.97	598.67
0	sweas	5	NA	2	22.93	9254.13	570.2	711.56	37.25	155.14	5	304568.02	42407.2	18357.24	1624.75	1548.79	173.33
0	sweps	5	NA	5	21.02	8400.22	548.6	280.92	40.75	97.03	5.67	243927.21	37276	5603.19	733.5	262.82	49
0	swund	5	NA	2	94.77	8791.73	332.8	908.2	28	385.47	3.33	185416.54	26872.4	15066.84	1407.75	1548.2	214.33
0	taist	5	NA	3	12.12	11942.44	414	995.05	45.75	79.36	5	347062.01	43517.4	23903.92	3970	2139.68	567.33
1	taked	5	NA	12	44.52	11430.73	497.6	1474.86	94.75	623.9	15	298560.83	33967.6	17515.77	3096	2386.99	219
0	talue	5	NA	2	56.64	10076.04	413	495.26	33.75	90.96	2.67	316639.88	38281.6	13177.78	2434.25	963.25	195.33
1	tases	5	NA	13	24.25	11823.92	754.2	1378.94	120.75	167.55	12.33	364541.72	49063.8	27936.3	5251.75	1207.13	358.67
0	taxon	5	NA	2	1.19	6622.69	306.2	316.78	26.25	11.66	1.67	278203.83	30758.8	15619.15	2533	69.96	19
0	teane	5	NA	2	2.47	13233.52	449.4	1557	57.5	208.88	6.67	420651.87	49188.6	36505.98	5062	996.17	177.67
0	tedia	5	NA	1	42.6	6822.24	265.2	246.37	19	51.76	2.33	353418.75	42630.2	22909.54	4998.75	2697.18	671
1	teeds	5	NA	11	22.42	11303.46	576.2	828.7	51	176.08	9	372980.09	47444.4	23291.25	4324.75	1010.25	166.33
0	theas	5	NA	2	0.06	13890.69	534.4	5516.87	41.25	2630.09	6.33	360737.23	41369.2	75299.68	2536.5	30466.82	426.67
0	theat	5	NA	4	20.03	13460.72	288.8	5635.97	35.5	2789.08	7.33	386429.55	38839.6	78470.97	3724.5	30547.75	445.33
0	thece	5	NA	3	1494.06	15531.37	320.2	5535.67	30.75	2538.02	3.33	359220.89	40039.2	68549.18	2327.25	28913.07	275.33
0	theck	5	NA	2	62.94	12121.62	237.6	5247.79	33.25	2521.98	4	261190.92	28359.8	65480.75	2156.5	28654.2	265.67
1	thees	5	NA	2	62.68	16574.85	671.6	6098.93	112.75	2597.27	7	388638.4	45687.4	73773.09	4542	28775.9	292.67
1	thefs	5	NA	3	2.9	12931.75	498	4931.72	29.25	2483.27	4.67	303348.02	34566	62042.43	1437	28511.81	202.67
0	therk	5	NA	2	1616.21	12507.53	252.8	6173.53	30	3909.72	4	286443.06	31705.8	77916.18	4069.5	34196.24	440.67
0	thert	5	NA	3	1080.11	14360.87	288.4	6401.23	32.75	3914.28	5.33	358653.48	38334.8	79741.69	4353.75	34693.32	547
0	thery	5	NA	2	1616.21	13063.16	329.6	6498.81	38.25	4087.51	6	296165.48	32503.6	79187.51	4166.5	35156.59	486.33
1	thesh	5	NA	1	1223.29	12876.04	253.8	5443.17	30.75	2950.36	4	333322.04	35472	73345.44	4736.25	29314.92	392
0	thess	5	NA	4	309.84	14383.44	525	5579.48	28.75	3011.84	6	337126.53	43166.6	72799.4	5023.25	31253.04	1133
0	thest	5	NA	3	425.59	13953.48	279.4	5895.63	33.5	2935.61	5	362818.85	40637	78320.55	5811	30980.32	918.33
1	thice	5	NA	4	36.99	15536.38	341	5925.28	37.5	1801.58	6.33	316048.85	37022.4	48023.74	2516.25	5243.02	227.33
0	thich	5	NA	3	1137.38	12902.54	268.4	6451.07	45.75	2757.94	4.33	260732.48	26807	47980.13	2587.75	5575.08	150.33
0	thill	5	NA	3	4.36	13413.32	294	5477.66	41.75	1210.18	8	256479.55	31541	47977.59	2391.5	5635.61	333
0	thint	5	NA	5	250.96	14418.09	321	5876.4	53.25	1149.62	11.67	324245.09	35224.2	66238.72	5383	6999.1	543.33
0	thirt	5	NA	2	122.5	14365.88	309.2	4679.13	35.5	620.17	6.33	315481.43	35318	44245.67	1724.25	3472.83	153
0	thite	5	NA	3	129.06	15079.32	375.8	5113.49	40.5	995.1	6.67	371158.69	40141	56946.04	3760	4298.13	253.33
